name,cate_1,cate_2,cate_3,area,address,lon,lat,rate,distance,tag,cate_4,link
의정부부대찌개,한식,부대찌개/섞어찌개,한식 음식점업,대치동,서울특별시 강남구 역삼로83길 24,37.5050823626224,127.059382014164,3.0,319.0,"찌개,전골",국/탕,https://place.map.kakao.com/11180084
바른치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대치동,서울특별시 강남구 선릉로86길 17,37.5035560451156,127.051054283867,2.7,746.0,치킨,치킨,https://place.map.kakao.com/27198339
곰바위,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 봉은사로97길 16,37.5149248692146,127.058625030656,3.2,813.0,"곱창,막창",곱창/막창/순대,https://place.map.kakao.com/8664636
놀부보쌈삼성역점,한식,족발/보쌈전문,한식 음식점업,대치동,서울특별시 강남구 영동대로85길 7,37.50710315914289,127.063089181717,1.0,474.0,"족발,보쌈",육류/고기,https://place.map.kakao.com/2025057104
하루엔소쿠,일식/수산물,음식점-일식,일식 음식점업,대치동,서울특별시 강남구 테헤란로70길 16,37.5043938900755,127.053283110318,0.0,536.0,일식,일식/돈까스,https://place.map.kakao.com/436981442
남원추어탕,한식,추어탕전문,한식 음식점업,대치동,서울특별시 강남구 영동대로86길 27,37.5084892314627,127.066306771778,0.0,760.0,추어탕,국/탕,https://place.map.kakao.com/8878866
사천옥,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 선릉로86길 12,37.5030950087048,127.050867848067,4.0,791.0,한식,한식,https://place.map.kakao.com/16296314
JS테이블,양식,돈가스전문점,서양식 음식점업,대치동,서울특별시 강남구 선릉로82길 5,37.502605216093,127.050466888835,3.2,853.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/429042820
진가샤브샤브,별식/퓨전요리,샤브샤브전문,한식 음식점업,대치동,서울특별시 강남구 도곡로 426,37.4973872847024,127.05711491821,2.7,1142.0,샤브샤브,한식,https://place.map.kakao.com/22513042
가나안,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 역삼로 450,37.5022201469231,127.056386859801,0.0,615.0,분식,분식,https://place.map.kakao.com/10955441
종인이네만두,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 테헤란로81길 60-4,37.5104617201142,127.056000337255,4.0,349.0,분식,분식,https://place.map.kakao.com/469732154
